datetime,home_team,away_team,home_goal,away_goal,season,round,saldo_casa,saldo_casa_contra,saldo_visitante,saldo_visitante_contra,result
2012-06-24T18:30:00Z,Atletico-GO,Fluminense-RJ,1,4,2012,6,2,11,12,5,0
2012-06-30T16:20:00Z,Nautico-PE,Fluminense-RJ,0,2,2012,7,8,15,14,5,0
2012-06-30T16:20:00Z,Cruzeiro-MG,Sao Paulo-SP,2,3,2012,7,10,6,8,8,0
2012-06-30T18:30:00Z,Vasco da Gama-RJ,Ponte Preta-SP,3,2,2012,7,14,10,8,8,3
2012-07-01T16:00:00Z,Coritiba-PR,Sport-PE,2,3,2012,7,12,13,7,9,0
2012-07-01T16:00:00Z,Portuguesa-SP,Santos-SP,0,0,2012,7,5,8,3,5,1
2012-07-01T16:00:00Z,Bahia-BA,Internacional-RS,1,1,2012,7,6,7,10,6,1
2012-07-01T18:30:00Z,Gremio-RS,Atletico-MG,0,1,2012,7,7,4,10,3,0
2012-07-01T18:30:00Z,Palmeiras-SP,Figueirense-SC,3,1,2012,7,7,9,7,9,3
2012-07-01T18:30:00Z,Flamengo-RJ,Atletico-GO,3,2,2012,7,13,11,4,14,3
2012-07-11T19:30:00Z,Corinthians-SP,Botafogo-RJ,1,3,2012,7,4,10,17,14,0
2012-07-07T18:30:00Z,Botafogo-RJ,Bahia-BA,3,0,2012,8,20,14,6,10,3
2012-07-07T18:30:00Z,Internacional-RS,Cruzeiro-MG,2,1,2012,8,12,7,11,8,3
2012-07-07T21:00:00Z,Atletico-GO,Nautico-PE,0,1,2012,8,4,15,9,15,0
2012-07-08T16:00:00Z,Figueirense-SC,Vasco da Gama-RJ,1,1,2012,8,8,10,15,11,1
2012-07-08T16:00:00Z,Fluminense-RJ,Flamengo-RJ,1,0,2012,8,15,5,13,12,3
2012-07-08T16:00:00Z,Santos-SP,Gremio-RS,4,2,2012,8,7,7,9,8,3
2012-07-08T16:00:00Z,Sao Paulo-SP,Coritiba-PR,3,1,2012,8,11,9,13,16,3
2012-07-08T18:30:00Z,Ponte Preta-SP,Palmeiras-SP,1,0,2012,8,9,8,7,10,3
2012-07-08T18:30:00Z,Sport-PE,Corinthians-SP,1,1,2012,8,8,10,5,11,1
