home_team,home_team_state,away_team,away_team_state,home_goal,away_goal,season,round,result
Vasco da Gama-RJ,RJ,Atletico-GO,GO,1,0,2012,9,3
Sport-PE,PE,Portuguesa-SP,SP,2,1,2012,9,3
Santos-SP,SP,Botafogo-RJ,RJ,0,0,2012,10,1
Gremio-RS,RS,Sport-PE,PE,3,1,2012,10,3
Portuguesa-SP,SP,Cruzeiro-MG,MG,0,2,2012,10,0
Nautico-PE,PE,Ponte Preta-SP,SP,3,0,2012,10,3
Sao Paulo-SP,SP,Vasco da Gama-RJ,RJ,0,1,2012,10,0
Atletico-MG,MG,Internacional-RS,RS,3,1,2012,10,3
Flamengo-RJ,RJ,Corinthians-SP,SP,0,3,2012,10,0
Fluminense-RJ,RJ,Bahia-BA,BA,4,0,2012,10,3
Coritiba-PR,PR,Palmeiras-SP,SP,1,1,2012,10,1
Atletico-GO,GO,Figueirense-SC,SC,3,2,2012,10,3
Sport-PE,PE,Atletico-MG,MG,1,4,2012,11,0
Vasco da Gama-RJ,RJ,Santos-SP,SP,2,0,2012,11,3
Corinthians-SP,SP,Portuguesa-SP,SP,1,1,2012,11,1
Internacional-RS,RS,Atletico-GO,GO,4,1,2012,11,3
Cruzeiro-MG,MG,Flamengo-RJ,RJ,1,0,2012,11,3
Figueirense-SC,SC,Sao Paulo-SP,SP,0,2,2012,11,0
Palmeiras-SP,SP,Nautico-PE,PE,3,0,2012,11,3
Bahia-BA,BA,Coritiba-PR,PR,2,2,2012,11,1
Botafogo-RJ,RJ,Gremio-RS,RS,0,1,2012,11,0
Ponte Preta-SP,SP,Fluminense-RJ,RJ,1,2,2012,11,0
Figueirense-SC,SC,Internacional-RS,RS,0,1,2012,12,0
Ponte Preta-SP,SP,Sport-PE,PE,1,1,2012,12,1
Vasco da Gama-RJ,RJ,Botafogo-RJ,RJ,1,0,2012,12,3
Nautico-PE,PE,Coritiba-PR,PR,3,4,2012,12,0
Corinthians-SP,SP,Cruzeiro-MG,MG,2,0,2012,12,3
Gremio-RS,RS,Fluminense-RJ,RJ,1,0,2012,12,3
Atletico-GO,GO,Sao Paulo-SP,SP,4,3,2012,12,3
Atletico-MG,MG,Santos-SP,SP,2,0,2012,12,3
Flamengo-RJ,RJ,Portuguesa-SP,SP,0,0,2012,12,1
Palmeiras-SP,SP,Bahia-BA,BA,0,2,2012,12,0
Coritiba-PR,PR,Gremio-RS,RS,2,1,2012,13,3
Internacional-RS,RS,Vasco da Gama-RJ,RJ,0,0,2012,13,1
Botafogo-RJ,RJ,Figueirense-SC,SC,1,0,2012,13,3
Sport-PE,PE,Atletico-GO,GO,0,0,2012,13,1
Sao Paulo-SP,SP,Flamengo-RJ,RJ,4,1,2012,13,3
Fluminense-RJ,RJ,Atletico-MG,MG,0,0,2012,13,1
Bahia-BA,BA,Corinthians-SP,SP,0,0,2012,13,1
Cruzeiro-MG,MG,Palmeiras-SP,SP,2,1,2012,13,3
Portuguesa-SP,SP,Nautico-PE,PE,3,1,2012,13,3
Santos-SP,SP,Ponte Preta-SP,SP,2,1,2012,13,3
Palmeiras-SP,SP,Internacional-RS,RS,0,1,2012,14,0
Atletico-GO,GO,Botafogo-RJ,RJ,1,2,2012,14,0
Portuguesa-SP,SP,Figueirense-SC,SC,2,0,2012,14,3
Vasco da Gama-RJ,RJ,Corinthians-SP,SP,0,0,2012,14,1
Gremio-RS,RS,Bahia-BA,BA,3,1,2012,14,3
Coritiba-PR,PR,Fluminense-RJ,RJ,0,2,2012,14,0
Sao Paulo-SP,SP,Sport-PE,PE,1,0,2012,14,3
Cruzeiro-MG,MG,Ponte Preta-SP,SP,1,2,2012,14,0
Nautico-PE,PE,Santos-SP,SP,3,0,2012,14,3
Flamengo-RJ,RJ,Atletico-MG,MG,2,1,2012,14,3
Sport-PE,PE,Vasco da Gama-RJ,RJ,0,2,2012,15,0
Internacional-RS,RS,Nautico-PE,PE,0,0,2012,15,1
Bahia-BA,BA,Portuguesa-SP,SP,0,0,2012,15,1
Corinthians-SP,SP,Atletico-GO,GO,1,1,2012,15,1
Santos-SP,SP,Cruzeiro-MG,MG,4,2,2012,15,3
Figueirense-SC,SC,Flamengo-RJ,RJ,0,2,2012,15,0
Botafogo-RJ,RJ,Palmeiras-SP,SP,1,2,2012,15,0
Fluminense-RJ,RJ,Sao Paulo-SP,SP,2,1,2012,15,3
Atletico-MG,MG,Coritiba-PR,PR,1,0,2012,15,3
Ponte Preta-SP,SP,Gremio-RS,RS,0,0,2012,15,1
Sport-PE,PE,Figueirense-SC,SC,0,1,2012,16,0
Bahia-BA,BA,Cruzeiro-MG,MG,0,1,2012,16,0
Santos-SP,SP,Atletico-GO,GO,2,2,2012,16,1
Flamengo-RJ,RJ,Nautico-PE,PE,2,0,2012,16,3
Internacional-RS,RS,Ponte Preta-SP,SP,2,1,2012,16,3
Sao Paulo-SP,SP,Gremio-RS,RS,1,2,2012,16,0
Atletico-MG,MG,Vasco da Gama-RJ,RJ,1,0,2012,16,3
Coritiba-PR,PR,Corinthians-SP,SP,1,2,2012,16,0
Fluminense-RJ,RJ,Palmeiras-SP,SP,1,0,2012,16,3
Portuguesa-SP,SP,Botafogo-RJ,RJ,1,1,2012,16,1
Gremio-RS,RS,Portuguesa-SP,SP,1,2,2012,17,0
Cruzeiro-MG,MG,Fluminense-RJ,RJ,1,1,2012,17,1
Atletico-GO,GO,Atletico-MG,MG,1,1,2012,17,1
Ponte Preta-SP,SP,Bahia-BA,BA,0,2,2012,17,0
Nautico-PE,PE,Sao Paulo-SP,SP,3,0,2012,17,3
Botafogo-RJ,RJ,Sport-PE,PE,2,0,2012,17,3
Palmeiras-SP,SP,Flamengo-RJ,RJ,1,0,2012,17,3
Vasco da Gama-RJ,RJ,Coritiba-PR,PR,2,2,2012,17,1
Corinthians-SP,SP,Internacional-RS,RS,1,0,2012,17,3
Figueirense-SC,SC,Santos-SP,SP,1,3,2012,17,0
Nautico-PE,PE,Bahia-BA,BA,1,0,2012,18,3
Fluminense-RJ,RJ,Sport-PE,PE,1,0,2012,18,3
Sao Paulo-SP,SP,Ponte Preta-SP,SP,3,0,2012,18,3
Santos-SP,SP,Corinthians-SP,SP,3,2,2012,18,3
Atletico-MG,MG,Botafogo-RJ,RJ,3,2,2012,18,3
Coritiba-PR,PR,Cruzeiro-MG,MG,4,0,2012,18,3
Gremio-RS,RS,Figueirense-SC,SC,4,0,2012,18,3
Atletico-GO,GO,Palmeiras-SP,SP,2,1,2012,18,3
Portuguesa-SP,SP,Internacional-RS,RS,1,1,2012,18,1
Flamengo-RJ,RJ,Vasco da Gama-RJ,RJ,1,0,2012,18,3
Vasco da Gama-RJ,RJ,Fluminense-RJ,RJ,1,2,2012,19,0
Palmeiras-SP,SP,Santos-SP,SP,1,2,2012,19,0
Ponte Preta-SP,SP,Portuguesa-SP,SP,2,1,2012,19,3
Internacional-RS,RS,Gremio-RS,RS,0,1,2012,19,0
Botafogo-RJ,RJ,Flamengo-RJ,RJ,0,0,2012,19,1
Corinthians-SP,SP,Sao Paulo-SP,SP,1,2,2012,19,0
Figueirense-SC,SC,Coritiba-PR,PR,3,1,2012,19,3
Cruzeiro-MG,MG,Atletico-MG,MG,2,2,2012,19,1
Sport-PE,PE,Nautico-PE,PE,0,0,2012,19,1
Bahia-BA,BA,Atletico-GO,GO,1,1,2012,19,1
Coritiba-PR,PR,Internacional-RS,RS,1,0,2012,20,3
Santos-SP,SP,Bahia-BA,BA,1,3,2012,20,0
Nautico-PE,PE,Figueirense-SC,SC,3,2,2012,20,3
Atletico-MG,MG,Ponte Preta-SP,SP,2,2,2012,20,1
Portuguesa-SP,SP,Palmeiras-SP,SP,3,0,2012,20,3
Fluminense-RJ,RJ,Corinthians-SP,SP,1,1,2012,20,1
Gremio-RS,RS,Vasco da Gama-RJ,RJ,2,0,2012,20,3
Atletico-GO,GO,Cruzeiro-MG,MG,0,2,2012,20,0
Flamengo-RJ,RJ,Sport-PE,PE,1,1,2012,20,1
Sao Paulo-SP,SP,Botafogo-RJ,RJ,4,0,2012,20,3
Palmeiras-SP,SP,Gremio-RS,RS,0,0,2012,21,1
Figueirense-SC,SC,Fluminense-RJ,RJ,2,2,2012,21,1
Vasco da Gama-RJ,RJ,Portuguesa-SP,SP,2,0,2012,21,3
Bahia-BA,BA,Sao Paulo-SP,SP,1,0,2012,21,3
Sport-PE,PE,Santos-SP,SP,2,1,2012,21,3
Internacional-RS,RS,Flamengo-RJ,RJ,4,1,2012,21,3
Corinthians-SP,SP,Atletico-MG,MG,1,0,2012,21,3
Botafogo-RJ,RJ,Coritiba-PR,PR,2,0,2012,21,3
Cruzeiro-MG,MG,Nautico-PE,PE,3,0,2012,21,3
Ponte Preta-SP,SP,Atletico-GO,GO,3,1,2012,21,3
Flamengo-RJ,RJ,Ponte Preta-SP,SP,0,1,2012,22,0
Portuguesa-SP,SP,Coritiba-PR,PR,3,0,2012,22,3
Nautico-PE,PE,Vasco da Gama-RJ,RJ,1,1,2012,22,1
Bahia-BA,BA,Atletico-MG,MG,0,0,2012,22,1
Gremio-RS,RS,Atletico-GO,GO,2,1,2012,22,3
Figueirense-SC,SC,Corinthians-SP,SP,1,0,2012,22,3
